isbn,book_title,book_author,year_of_publication,publisher
0002555565,Backwards out of the big world: A voyage into Portugal,Paul Hyland,1996,HarperCollins
0002556030,A merry dance around the world: The best of Eric Newby,Eric Newby,1995,HarperCollins Publishers
0002557029,Truth Is Out There the Official Guide to the X,Brian Lowry,0,Harpercollins Publisher
000255710X,"The Danakil Diary: Journeys Through Abyssinia, 1930-34",Wilfred Thesiger,1996,Harpercollins Canada
0002557290,From Stone Orchard: A collection of memories,Timothy Findley,1998,HarperFlamingo Canada
0002557398,"The Geometry of Love: Space, Time, Mystery, and Meaning in an Ordinary Church",Margaret Visser,2001,HarperFlamingo Canada
0002557487,Activation: The Core Competency,Edmund J. Freedberg,1997,HarperCollins Publishers
0002557517,A Hand in the Water: The Many Lies of Albert Walker,Bill Schiller,1999,HarperCollins Publishers
000255755X,Come Through Marjorie's Garden Gate: Spend a Year in the Bestselling Author's Amazing Garden,Marjorie Harris,1999,HarperCollins Publishers
0002558033,The Sas Urban Survival Handbook (SAS Survival),John Wiseman,1996,HarperCollins Publishers
0002558122,Angelas Ashes,Frank Mccourt,0,Harpercollins Australia
0002558386,Alien Agenda: The Untold Story of the Extraterrestrials Among Us,Jim Marrs,1997,Pub Overstock Unlimited Inc
0002558661,Expression of the Emotions In Man and Anim,Charles Darwin,0,Harper Collins Publishers
0002570130,Under the Dragon Travels In a Betrayed L,Rory Maclean,0,Harpercollins Publisher
0002621010,Pippa's challenge,Joy Adamson,1972,Collins &amp; Harvill Press
0002621509,Alexander Dolgun's story: An American in the Gulag,Alexander Dolgun,1975,Collins : Harvill Press
0002711567,Doctor Zhivago,Boris Pasternak,0,Collins Harvill Pr
0002712172,The Death of the Body,C.K. Stead,1993,Harpercollins
0002712180,Sister Hollywood,C.K. Stead,1994,Harpercollins
0002713276,Bell' Antonio,Vitaliano Brancati,1994,Harpercollins
0002713349,Miss Smillas Feeling for Snow,Hoeg Peter,0,Harvill Press
0002720310,Hunting Mister Heartbreak,Jonathan Raban,1990,Collins Harvill
0002726874,Quartered Safe Out Here: A Recollection of the War in Burma,George MacDonald Fraser,1994,"Acacia Press, Inc."
0002727463,Steel Bonnets: The Story of the Anglo-Scottish Border Reivers,George MacDonald Fraser,1998,Trafalgar Square
0002740060,Futurewise,Patrick Dixon,1998,HarperCollins
0002740230,Keep It Simple: And Get More Out of Life,Nick Page,1999,Trafalgar Square
0002740435,Survival Of The Fittest (Logan),Logan,1999,Trafalgar Square
000274094X,In Search of the World's Worst Writers,Nick Page,2001,Trafalgar Square
0002740958,Old Thunder,Joseph Pearce,2002,HarperCollins
0003032701,Letterland ABC Book,Richard Carlisle,1996,HarperCollins Publishers
0003131696,"One, Two, Three and Away!: Green Book 1 - The Village with Three Corners (One, Two, Three and Away!)",Sheila McCullagh,1985,HarperCollins Publishers
0003135004,Collins Book Bus: The Basket-maker's Donkey,Ginny Lapage,1990,HarperCollins Publishers
0003235173,Collins Study and Revision Guides: Instant Revision - GCSE Geography (Collins Study &amp; Revision Guides),Nicholas Rowles,1999,Collins
0003252477,A midsummer night's dream; (The Alexander Shakespeare),William Shakespeare,1972,Collins
0003252485,King Richard III; (The Alexander Shakespeare),William Shakespeare,1973,Collins
0003252531,Macbeth (The Alexander Shakespeare),William Shakespeare,1973,Collins
0003272109,"Gladstone and Disraeli, (Britain in modern times)",B. H Abbott,1972,Collins
0003277585,Economics Explained,Peter Maunder,2000,Collins Educational
0003300277,"Cascades - \Fahrenheit 451\"" (Collins Cascades)""",Ray Bradbury,1985,HarperCollins Publishers
0003302474,Cascades: The Indian in the Cupboard,Lynn Reid Banks,1991,HarperCollins Publishers
0003700933,Custer's Gold,Ulyatt,1991,Addison Wesley Publishing Company
0003701131,Fast Money: Level 1 - Beginner (Nelson Readers),K.R. Cripwell,1979,Pearson English Language Teaching
0003701182,Four Short Stories (Collins English Library Level 1),Margery Morris,1978,Pearson English Language Teaching
0003701328,Dead in the Morning (Collins English Library Level 1),Jane Homeshaw,1980,Addison Wesley Longman ELT Division (a Pearson Education company)
0003701352,Five Ghost Stories (Collins English Library Level 3),Viola Huggins,1980,Pearson English Language Teaching
0003701387,Airport International: Level 4 - Intermediate (Nelson Readers),Brian Moynahan,1982,Penguin Longman Publishing
0003701468,Three Sherlock Holmes Adventures (Collins English Library Level 2),Arthur Conan Doyle,1982,Pearson English Language Teaching
0003701484,Experiences of Terror (Collins English Library Level 5),Roland John,1983,Addison Wesley Longman ELT Division (a Pearson Education company)
0003701581,Fastline UK: Level 1 - Beginner (Nelson Readers),Jane Homeshaw,1987,Pearson English Language Teaching
0003701727,The Man with Three Fingers (Collins English Library Level 1),John Tully,1987,Addison Wesley Longman ELT Division (a Pearson Education company)
0004102169,Care for Your Gerbil,Tina Hearne,1985,HarperCollins Publishers
0004105028,The Complete Works,William Shakespeare,1983,Trafalgar Square
0004109066,Spain: Welcome to Spain (Welcome Guides),R. A. N. Dixon,1980,HarperCollins Publishers
0004116941,Collins Encyclopedia of Fishing in Britain and Ireland,Michael Prichard,1982,HarperCollins Publishers
0004121120,Learn to Paint Watercolours (Collins Learn to Paint),Alwyn Crawshaw,1986,HarperCollins Publishers
0004123948,Cacti and Succulents (Collins Aura Garden Handbooks),Ken March,1988,HarperCollins Publishers
0004125576,"Collins Artist's Manual: The Complete Guide to Painting and Drawing, Materials and Techniques",Angela Gair,1992,HarperCollins Publishers
0004126491,Watercolour Masterclass: Learning from Professional Artists at Work,Laurence Wood,1993,HarperCollins Publishers
0004127382,The East India Company Book of Tea,Antony Wild,1995,Harpercollins
0004127854,Amelia Saint George's Papercraft,Amelia Saint George,1996,HarperCollins Publishers
000412913X,Rose Elliot's vegetarian four seasons: A cook's calendar of delicious recipes,Rose Elliot,1993,HarperCollins Publishers
0004133412,Gardens in Watercolour,Sharon Finmark,1998,Trafalgar Square Publishing
0004133439,Light in Watercolour (Collins Learn to Paint),John Lidzey,1998,Trafalgar Square Publishing
0004133803,Drawing Animals: A Step-By-Step Guide to Drawing Success,Peter Partington,1999,Trafalgar Square Publishing
0004333349,The Collins Paperback Italian Dictionary,Catherine E. Love,1989,HarperCollins Publishers
0004334787,"Collins-Robert French-English, English-French Dictionary",B. T. S. Atkins,1983,Collins
000433549X,Collins Spurrell Welsh Dictionary,Henry Lewis,0,William Collins Sons Co Ltd
0004343859,Collins dictionary of religious &amp; spiritual quotations,Edward Geoffrey Parrinder,1992,HarperCollins
0004356373,The Complete Works,William Shakespeare,1983,Collins Liturgical Books
0004481771,Collins Pocket Planet Earth Factfile,Moira Jones,1995,HarperCollins Publishers
0004483642,Collins Paperback Atlas of the World,"Henry H., Jr. Collins",1997,Harpercollins
0004489640,Collins Ghost Hunters Great Britain,John Spencer,2000,Trafalgar Square Publishing
0004585445,"Collins Gem Dictionary, Spanish-English",Mike Gonzalez,1990,HarperCollins Publishers
0004586298,Collins Gem Italian English English Ital,Collins,0,Collins
0004586654,Collins Gem Russian Dictionary: Russian English English Russian,Not Applicable (Na ),1990,Harpercollins
000458726X,Collins Gem Thesaurus,"Henry H., Jr. Collins",1985,Not Avail
0004588010,Collins Gem Wild Flowers (Collins Gems),Marjorie Blamey,1980,HarperCollins Publishers
0004588177,Night Sky (Collins Gem),Harper Collins,1985,HarperCollins Publishers
0004588185,Collins Gem Insects (Collins Gems),Gordon Riley,1986,HarperCollins Publishers
000458824X,Collins Gem: the Seashore (Collins Gems),Rosalind Fitter,1984,HarperCollins Publishers
0004589777,Collins Gem French Dictionary: French-English English-French,HarperCollins,1993,Harpercollins
0004595033,Collins Gem Flags of the World (Collins Gems),Edwin Moore,1986,HarperCollins Publishers
0004700481,Collins Gem Spanish Dictionary: Spanish-English English-Spanish (Collins gem),HarperCollins,1993,Harper Collins Canada
0004701674,Collins Gem Sas Survival Guide (Collins Gem),John Wiseman,1996,Harpercollins
0004702816,Bible Guide (Collins Gem),Raymond Brown,1993,HarperCollins Publishers
0004703723,Dictionary Of Economics-2Nd Ed,Christopher Pass,1991,Trafalgar Square
0004704746,Complete Works of William Shakespeare: The Alexander Text (Collins Classics),William Shakespeare,1997,HarperCollins Publishers
0004704754,Complete Works of William Shakespeare,William Shakespeare,1994,Collins
0004704932,Collins Gem Fossils (Collins Gems),David Martill,1995,HarperCollins Publishers
0004705408,Weddings Reference,Diagram Group,1994,HarperCollins (UK)
0004705440,Collins Gem Photoguide Birds (Collins Gems),Jim Flegg,1994,HarperCollins Publishers
0004707478,"Collins Gem German Dictionary:  German-English, English-German",HarperCollins,1997,HarperResource
0004707532,Collins Gem Irish Dictionary (Collins Gem),Seamus Mac Mathuna,1995,HarperResource
000470763X,Collins Gem Latin Dictionary : Second Edition (Collins Gem),HarperCollins,1996,HarperResource
0004708105,Clans &amp; Tartans (Collins Pocket Reference S.),George Way,1996,Trafalgar Square
0004709721,Cats Photo Guide (Collins Gem),Deborah Gill,1998,HarperCollins Publishers
000470973X,Dogs Photo Guide (Collins Gem),Jane Edie,1998,HarperCollins UK
0004709934,Collins Gem French Verb Tables,HarperCollins,1994,HarperResource
0004709950,Jane's Tank &amp; Combat Vehicle Recognition Guide (Jane's Recognition Guides),Christopher F. Foss,1996,HarperResource
0004720148,Bomber Command 1939-1945 (Collins Gem),Richard Overy,1997,HarperCollins Publishers
0004720164,Patience Card Games (Collins Gem),Diagram Group,1996,HarperCollins Publishers
0004720601,Dictionary of Curious Phrases,Leslie Dunkling,1998,Collins
0004720695,Irish Dancing (Collins Pocket Reference),Tom Quinn,1998,Trafalgar Square
0004720741,Italian Phrase Book &amp; Dictionary (Collins Phrase Book &amp; Dictionaries),Harper Collins,1999,HarperCollins UK
0004722124,Jane's Aircraft Recognition Guide (Jane's Aircraft Recognition Guide),David Rendall,1999,HarperResource
0004722639,Whisky (Collins Gem),Carol P. Shaw,1999,Trafalgar Square Publishing
0004722647,Jane's Gem Modern Civil Aircraft (The Popular Jane's Gems Series),Richard Aboulafia,1999,HarperResource
0004723023,Collins Gem Sas Survival Guide (Collins Gem),John Wiseman,1999,HarperCollins Publishers
0004723171,Card Games (Collins Gem),Harpercollins Uk,1999,HarperCollins Publishers
0004723201,Yoga (Collins Gem),Patricia Ralston,1999,HarperCollins UK
0004723708,Mythology (Collins Gem),C. M. Braysher,2000,Trafalgar Square Publishing
0004723724,Collins Complete Works of Oscar Wilde: Centenary Edition,Oscar Wilde,1999,HarperCollins Publishers
0004724097,"Collins Gem Portuguese Dictionary English-Portuguese, Portuguese-English",Harper Collins,2000,HarperResource
0004724119,"Collins Gem Italian Dictionary, 5e (Collins Gem)",Harpercollins,2001,HarperResource
0004725018,Clans &amp; Tartans   0004725018,George Way,2000,HarperCollins (UK)
0004725042,Scottish Surnames,David Dorward,2000,Trafalgar Square
0005128412,Good News Bible: Sunrise,Annie Vallotton,1994,HarperCollins Publishers
000599134X,Collins Bible Handbook,Jacques Musset,1989,Harpercollins
0006117252,The Golden Rendezvous,Alistair Maclean,1970,HarperCollins Publishers Inc
0006119190,BRIDE OF PENDORRIC,Holt Victoria,1969,HarperCollins Publishers
000611962X,The Guns of Navarone,Alistair Maclean,1968,HarperCollins Publishers Inc
0006119875,KING OF THE CASTLE,Holt Victoria,1969,HarperCollins Publishers
0006121071,World of Suzie Wong,Richard Mason,1969,HarperCollins Publishers
0006125107,SATAN BUG,Maclean Alistair,1970,HarperCollins Publishers
0006127665,All Else Is Folly,Catherine Gaskin,1971,HarperCollins Publishers
0006131409,The Trojan horse,Hammond Innes,1973,Fontana
0006132138,Rest and Be Thankful,Helen MacInnes,1973,Fontana
0006135889,The Distant Laughter,Bryan Forbes,1987,HarperCollins Publishers
0006135986,Woman Destroyed,Simone De Beauvoir,0,Fontana Paperbacks
0006136753,"The honey bird, and other African stories",Stuart Cloete,1974,Fontana
000613923X,BLACK MOON,Graham Winston,1975,HarperCollins Publishers
0006140823,Ross Poldark :POLDARK,Winston Graham,0,Collins
0006143199,SNOW TIGER,Bagley Desmond,1976,HarperCollins Publishers
000614330X,The Grove of Eagles,Winston Graham,1987,HarperCollins Publishers
0006143490,HOUSE OF 1000 LANTERNS,Holt Victoria,1976,HarperCollins Publishers
0006145922,NORTH STAR,Innes Hammond,1977,HarperCollins Publishers
0006148891,Circus,Alistair Maclean,1977,HarperCollins Publishers
0006149995,LORD OF THE FAR ISLAND,Victoria Holt,1977,HarperCollins Publishers
0006150624,The Fifth Fontana Book of Great Horror Stories,Mary Danby,1982,HarperCollins Publishers
0006150713,Agent in Place,Macinnes Helen,1977,HarperCollins Publishers
0006150853,The BLACK MOON,Winston Graham,1996,HarperCollins Publishers
0006152988,Message from Malaga,MacInnes Helen,1986,HarperCollins Publishers
0006154298,A Cage of Ice,Duncan Kyle,1987,HarperCollins Publishers
0006154751,"The Bear's Whelp: The Autobiography of Robert Dudley, Duke of Northumberland, Earl of Warwick and Earl of Leicester in the Holy Roman Empire",Derek Wilson,1979,HarperCollins Publishers
0006156487,Saturday City,Jan Webster,1982,HarperCollins Publishers
0006156789,Black Camelot,Kyle Duncan,1979,HarperCollins Publishers
0006157114,Summer of the Spanish Woman,Catherine Gaskin,1979,HarperCollins Publishers
0006157149,DEVIL ON HORSEBACK,Holt Victoria,1979,HarperCollins Publishers
0006157629,4:50 From Paddington,Agatha Christie,1992,HarperCollins Publishers
0006157688,Grave Mistake,Ngaio Marsh,1979,HarperCollins Publishers Inc
0006161529,Vintage Murder,Ngaio Marsh,0,Harpercollins Publisher
0006163041,Bahama Crisis Uk,Desmond Bagley,0,Fontana/ Collin
0006163831,One Tree,Stephen Donaldson,0,Harpercollins Uk
0006164188,The River Running,Charles Gidley,1984,HarperCollins Publishers
0006164587,A Breed of Heroes,Alan Judd,1988,HarperCollins Publishers
0006164625,Family Affairs,Catherine Gaskin,1987,HarperCollins Publishers
0006164900,A Ravel of Waters,Geoffrey Jenkins,1986,HarperCollins Publishers
0006165109,The Eighteenth Fontana Book of Great Ghost Stories,R. Chetwynd-Hayes,1982,HarperCollins Publishers
0006165966,A Loss of Heart,Robert McCrum,1982,HarperCollins Publishers
0006166598,A Kind of Anger,Eric Ambler,1986,HarperCollins Publishers
0006166881,Paths of Fortune,Susan Moore,1984,HarperCollins Publishers
0006167071,LONG PURSUIT,Jon Cleary,1988,HarperCollins Publishers
0006168663,Triple Factor,Owen Sela,1984,HarperCollins Publishers
0006168760,Spearfield's Daughter,Jon Cleary,1983,HarperCollins Publishers
000616899X,Black Camelot,Duncan Kyle,1989,HarperCollins Publishers
0006170056,Nemesis,Agatha Christie,0,Harpercollins Publisher
0006170218,The Phoenix Tree,Jon Cleary,1985,HarperCollins Publishers
0006170552,A Season of Mists,Sarah Woodhouse,1985,HarperCollins Publishers
0006171788,The Killing Anniversary,Ian St James,1987,HarperCollins Publishers
0006171966,In Honour Bound,Gerald Seymour,1987,HarperCollins Publishers
0006171982,Sharpes Honor,Bernard Cornwell,0,William Collins Pty Ltd
0006172504,Juggernaut,Desmond Bagley,0,Harpercollins Uk
0006173284,The Bad and the Beautiful,Vera Cowie,1986,HarperCollins Publishers
0006173373,A Semi-detached Woman,Polly Graham,1988,HarperCollins Publishers
0006173438,PROPHET OF LAMATH,Robert Don Hughes,1987,HarperCollins Publishers
0006173454,POWER AND THE PROPHET,Robert Don Hughes,1987,HarperCollins Publishers
0006173527,Armada,Charles Gidley,1988,HarperCollins Publishers
0006174094,The Fourth King,Glen Petrie,1987,HarperCollins Publishers
0006174116,DRAGONS TEETH,David Fraser,1988,HarperCollins Publishers
0006174450,The Seizure,David Fraser,1989,HarperCollins Publishers
0006174817,Dragons at the Party,Jon Cleary,1988,HarperCollins Publishers
0006174841,Glitter Baby,Susan Elizabeth Phillips,1987,HarperCollins Publishers
000617499X,A Song in the Morning,Gerald Seymour,1987,HarperCollins Publishers
000617521X,Spirit Mirror,Stephen Marley,1988,HarperCollins Publishers
0006175317,The Claws of the Gryphon,Peter Turnbull,1988,HarperCollins Publishers
0006175465,The Juniper Bush,Audrey Howard,1988,HarperCollins Publishers
0006175473,The Land God Made in Anger,John Gordon Davis,1990,HarperCollins Publishers
0006176089,The Well of Time,Tom Henighan,1988,HarperCollins Publishers
0006176100,Trapp and World War III,Brian Callison,1989,HarperCollins Publishers
000617616X,At Close Quarters,Gerald Seymour,1988,HarperCollins Publishers
0006176267,The Unorthodox Murder of Rabbi Moss,Josef Telushkin,1988,HarperCollins Publishers
0006176453,The Honey Ant,Duncan Kyle,1989,HarperCollins Publishers
